Pclass,Name,Survived,Sex,Age,Hometown,Role,Role Additional info,Image,Misc Information,Lifeboat,Body Disposition,Job Area,Source of info 1,Source of info 2
n/a,"Hewett, T ",0,male,37,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hill, J ",0,male,38,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hogg, C ",0,male,37,Liverpool,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Ide, H ",0,male,32,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Janaway, W ",0,male,35,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"MacKie, G ",0,male,34,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"McCarty, F ",0,male,36,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"McMurray, W ",0,male,43,Liverpool,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"O'Connor, T ",0,male,39,Liverpool,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Penrose, J ",0,male,49,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Petty, Edwin Henry",0,male,25,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Reed, C ",0,male,43,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Roberts, H ",0,male,40,Liverpool,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Siebert, Sidney C. ",0,male,,Southampton,Bedroom steward,,,,4,"died on Carpathia, buried at sea",Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Smith, C ",0,male,,"Woolston, Hampshire",Bedroom steward,,,,,"#329?, Fairview Cemetery, Halifax NS",Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Stone, E ",0,male,26,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Stone, E ",0,male,30,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Swan, W ",0,male,,Liverpool,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Thessinger, A ",1,male,,Southampton,Bedroom steward,,,,11,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Ward, E ",0,male,34,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Ward, P ",0,male,38,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Wareham, R ",0,male,36,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Wittman, H ",0,male,,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
