,Pclass,Name,Survived,Sex,Age,Hometown,Role,Role Additional info,Image,Misc Information,Lifeboat,Body Disposition,Job Area,Source of info 1,Source of info 2,Home_Lat,Home_Lng
112,,"Morgan, W ",0.0,male,,Birkenhead,Assistant storekeeper,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.38999099999999,-3.023009
113,,"Prentice, Frank M ",1.0,male,22.0,Southampton,Assistant storekeeper,,,,4,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
114,,"Ricks, Cyril S ",0.0,male,23.0,Southampton,Assistant storekeeper,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
115,,"Rogers, E. J ",0.0,male,32.0,Southampton,Assistant storekeeper,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
116,,"Williams, A ",0.0,male,,Liverpool,Assistant storekeeper,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.4083714,-2.9915726
117,,"Simpson, J. Edward",0.0,male,37.0,Belfast Ireland,Assistant surgeon,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,54.59728500000001,-5.93012
118,,"Ayling, E ",0.0,male,22.0,Southampton,Assistant vegetable cook,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
119,,"Buckley, H ",0.0,male,34.0,Southampton,Assistant vegetable cook,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
120,,"Ellis, J ",1.0,male,30.0,Southampton,Assistant vegetable cook,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
121,,"Orr, J ",0.0,male,40.0,Southampton,Assistant vegetable cook,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
122,,"Broome, Athol",0.0,male,30.0,Southampton,Assistant veranda cafe,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
123,,"Allaria, Baptiste",0.0,male,30.0,Southampton,Assistant waiter, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
124,,"Bernardi, B ",0.0,male,22.0,London,Assistant waiter, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
125,,"Beux, D ",0.0,male,26.0,London,Assistant waiter, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
126,,"Crovelle, Louis",0.0,male,17.0,Southampton,Assistant waiter, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
127,,"De Breucq, M ",0.0,male,22.0,London,Assistant waiter, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
128,,Dennarsico,0.0,male,,London,Assistant waiter, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
129,,"Donati, Italio",0.0,male,17.0,London,Assistant waiter, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
130,,"Fanette, M ",0.0,male,,London,Assistant waiter, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
131,,"Monoros, J ",0.0,male,,London,Assistant waiter, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
132,,"Pedrini, Alex",0.0,male,21.0,Southampton,Assistant waiter, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
